date,sales
2021-01-01,347.3
2021-01-02,348.1
2021-01-03,362.4
2021-01-04,333.7
2021-01-05,324.2
2021-01-06,252.8
2021-01-07,300.7
2021-01-08,297.9
2021-01-09,333.8
2021-01-10,346.3
2021-01-11,279.3
2021-01-12,311.7
2021-01-13,294.0
2021-01-14,277.6
2021-01-15,310.2
2021-01-16,342.0
2021-01-17,370.5
2021-01-18,267.5
2021-01-19,279.9
2021-01-20,250.2
2021-01-21,207.2
2021-01-22,311.7
2021-01-23,351.4
2021-01-24,310.6
2021-01-25,451.0
2021-01-26,231.5
2021-01-27,268.3
2021-01-28,261.8
2021-01-29,329.1
2021-01-30,361.7
2021-01-31,328.1
2021-02-01,242.9
2021-02-02,210.5
2021-02-03,182.4
2021-02-04,222.4
2021-02-05,259.1
2021-02-06,320.1
2021-02-07,318.5
2021-02-08,217.9
2021-02-09,219.1
2021-02-10,199.5
2021-02-11,189.3
2021-02-12,206.2
2021-02-13,331.7
2021-02-14,269.2
2021-02-15,210.0
2021-02-16,188.6
2021-02-17,324.9
2021-02-18,177.5
2021-02-19,329.0
2021-02-20,253.4
2021-02-21,284.4
2021-02-22,200.9
2021-02-23,183.1
2021-02-24,210.8
2021-02-25,221.1
2021-02-26,235.9
2021-02-27,275.7
2021-02-28,342.2
2021-03-01,226.8
2021-03-02,217.9
2021-03-03,224.6
2021-03-04,212.0
2021-03-05,213.0
2021-03-06,294.5
2021-03-07,278.8
2021-03-08,186.9
2021-03-09,238.0
2021-03-10,202.6
2021-03-11,225.4
2021-03-12,266.1
2021-03-13,284.9
2021-03-14,436.2
2021-03-15,188.3
2021-03-16,228.0
2021-03-17,199.6
2021-03-18,193.8
2021-03-19,224.8
2021-03-20,265.3
2021-03-21,273.3
2021-03-22,181.5
2021-03-23,231.9
2021-03-24,219.8
2021-03-25,303.1
2021-03-26,267.9
2021-03-27,311.9
2021-03-28,292.8
2021-03-29,197.6
2021-03-30,174.1
2021-03-31,226.0
2021-04-01,188.4
2021-04-02,252.8
2021-04-03,261.3
2021-04-04,279.3
2021-04-05,202.6
2021-04-06,341.5
2021-04-07,191.6
2021-04-08,234.8
2021-04-09,217.2
2021-04-10,257.9
2021-04-11,293.8
2021-04-12,151.9
2021-04-13,152.7
2021-04-14,207.6
2021-04-15,152.9
2021-04-16,254.7
2021-04-17,229.7
2021-04-18,220.3
2021-04-19,226.0
2021-04-20,213.9
2021-04-21,222.5
2021-04-22,197.4
2021-04-23,177.2
2021-04-24,280.5
2021-04-25,225.1
2021-04-26,295.0
2021-04-27,193.5
2021-04-28,165.0
2021-04-29,183.3
2021-04-30,215.1
2021-05-01,235.5
2021-05-02,197.7
2021-05-03,171.8
2021-05-04,346.4
2021-05-05,145.3
2021-05-06,158.1
2021-05-07,175.1
2021-05-08,266.4
2021-05-09,236.2
2021-05-10,168.9
2021-05-11,138.7
2021-05-12,170.7
2021-05-13,139.7
2021-05-14,181.6
2021-05-15,199.3
2021-05-16,231.4
2021-05-17,168.3
2021-05-18,148.1
2021-05-19,162.6
2021-05-20,124.8
2021-05-21,139.3
2021-05-22,222.1
2021-05-23,214.7
2021-05-24,166.0
2021-05-25,209.2
2021-05-26,172.8
2021-05-27,125.9
2021-05-28,309.3
2021-05-29,175.1
2021-05-30,196.1
2021-05-31,145.6
2021-06-01,189.8
2021-06-02,207.2
2021-06-03,125.8
2021-06-04,168.7
2021-06-05,189.4
2021-06-06,234.0
2021-06-07,118.6
2021-06-08,116.8
2021-06-09,134.4
2021-06-10,132.8
2021-06-11,218.4
2021-06-12,228.8
2021-06-13,207.3
2021-06-14,114.4
2021-06-15,166.2
2021-06-16,120.1
2021-06-17,106.6
2021-06-18,257.6
2021-06-19,213.3
2021-06-20,228.5
2021-06-21,153.6
2021-06-22,167.3
2021-06-23,129.8
2021-06-24,120.4
2021-06-25,188.6
2021-06-26,186.7
2021-06-27,189.9
2021-06-28,136.0
2021-06-29,148.2
2021-06-30,139.3
2021-07-01,114.1
2021-07-02,157.8
2021-07-03,153.8
2021-07-04,225.5
2021-07-05,110.3
2021-07-06,123.2
2021-07-07,152.7
2021-07-08,133.4
2021-07-09,216.1
2021-07-10,276.1
2021-07-11,220.4
2021-07-12,153.4
2021-07-13,125.8
2021-07-14,168.8
2021-07-15,152.1
2021-07-16,201.4
2021-07-17,238.5
2021-07-18,272.7
2021-07-19,192.9
2021-07-20,151.0
2021-07-21,155.1
2021-07-22,189.4
2021-07-23,204.2
2021-07-24,239.7
2021-07-25,184.2
2021-07-26,165.0
2021-07-27,148.1
2021-07-28,174.5
2021-07-29,225.5
2021-07-30,217.3
2021-07-31,238.5
2021-08-01,251.2
2021-08-02,161.0
